,ingredient_id,recipe_id,ingredient_name,original_ingredient_amount,original_ingredient_unit,ingredient_remainder,recipe_source,new_ingredient_amount,new_ingredient_unit,common_ingredient_name,ingredient_category,default_unit
15,Y001_15,Y001,bean sprouts,1.0,cup,,yummly,1.0,cup,bean sprout,vegetable,cup
16,Y001_16,Y001,scallions,0.25,cup,"(chopped, for garnish, optional)",yummly,0.25,cup,scallion / spring onion / green onion,vegetable,cup
17,Y001_17,Y001,peanuts,0.25,cup,"(crushed, for garnish, optional)",yummly,4.0,tablespoon,peanut,beans / peas / lentils / nuts / nut butter / seeds,tablespoon
18,Y001_18,Y001,chopped cilantro,,,"(for garnish, optional)",yummly,,tablespoon,coriander / cilantro,herbs,tablespoon
19,Y001_19,Y001,lime wedges,,,"(for garnish, optional)",yummly,,unit,lime wedge,lime / lemon,unit
20,Y002_00,Y002,minced garlic,1.0,tsp.,,yummly,1.0,clove,garlic,herbs,clove
21,Y002_01,Y002,thai chiles,2.0,,(very thinly sliced),yummly,2.0,unit,thai chili,chili / pepper,unit
22,Y002_02,Y002,palm sugar,4.5,oz.,"(or 2/3 cup, 5 oz./155 g firmly packed brown sugar)",yummly,9.0,tablespoon,sugar,sugar / sweeteners / syrup,tablespoon
23,Y002_03,Y002,tamarind paste,0.5,cup,,yummly,8.0,tablespoon,tamarind concentrate / tamarind paste / tamarind juice,herbs,tablespoon
24,Y002_04,Y002,asian fish sauce,6.0,Tbsp.,,yummly,6.0,tablespoon,fish sauce,sauce / salt,tablespoon
25,Y002_05,Y002,fresh lime juice,1.5,tsp.,,yummly,0.4999999995,tablespoon,lime juice,lime / lemon,tablespoon
26,Y002_06,Y002,pad thai noodles,7.0,oz.,,yummly,7.0,ounce,rice noodle,noodle / spaghetti,ounce
27,Y002_07,Y002,canola oil,2.0,Tbsp.,,yummly,2.0,tablespoon,canola oil,oil,tablespoon
28,Y002_08,Y002,large shrimp,1.0,lb.,(peeled and deveined),yummly,16.0,ounce,shrimp,meat,ounce
29,Y002_09,Y002,red pepper flakes,1.0,pinch,,yummly,0.0625,teaspoon,chili flakes,chili / pepper,teaspoon
30,Y002_10,Y002,eggs,3.0,,,yummly,3.0,unit,egg,egg,unit
31,Y002_11,Y002,extra firm tofu,5.0,oz.,(julienned),yummly,5.0,ounce,firm tofu,tofu,ounce
32,Y002_12,Y002,carrots,2.0,,(peeled and julienned),yummly,1.333333333,cup,carrot,vegetable,cup
33,Y002_13,Y002,bean sprouts,4.0,oz.,,yummly,1.0,cup,bean sprout,vegetable,cup
34,Y002_14,Y002,green onions,2.0,,"(white and light green portions, sliced)",yummly,0.5,cup,scallion / spring onion / green onion,vegetable,cup
35,Y002_15,Y002,cilantro leaves,,,,yummly,,tablespoon,coriander / cilantro,herbs,tablespoon
36,Y002_16,Y002,roasted peanuts,,,,yummly,,tablespoon,peanut,beans / peas / lentils / nuts / nut butter / seeds,tablespoon
