,recipe_source,recipe_id,recipe_name,recipe_ratings,recipe_ratings_normalized,peanut,garlic,scallion / spring onion / green onion,rice noodle,bean sprout,soy sauce,coriander / cilantro,egg,fish sauce,carrot
102,yummly,Y103,Pad Thai Noodles,5.0,0.5873736998514116,,2.0,0.25,10.0,2.0,,,,,1.333333333
103,yummly,Y104,Easy Spicy Chicken Pad Thai,5.0,0.5873736998514116,4.0,,,6.0,,,,4.0,,0.75
104,yummly,Y105,One Pot Wonder Pad Thai Inspired,5.0,0.5873736998514116,4.0,1.0,0.75,4.0,1.0,,5.333333328,1.0,1.0,1.0
105,yummly,Y106,Pad Thai Egg Roll In A Bowl {Instant Pot | Stove Top},3.0,0.33737369985141163,4.0,,1.0,,1.0,,2.0,,,
106,yummly,Y107,Keto Pad Thai With Shirataki Noodles,5.0,0.5873736998514116,4.0,2.0,0.25,,,3.0,2.0,6.0,,
107,yummly,Y108,Vegan Pad Thai with Tofu,3.0,0.33737369985141163,4.0,3.0,0.75,8.0,0.5,4.0,5.333333333,2.0,1.5,0.5
108,yummly,Y109,Protein-Packed Pad Thai,5.0,0.5873736998514116,4.2,4.0,1.5,8.0,,1.0,,,,1.333333333
109,yummly,Y110,Pad Thai with Spaghetti Squash,2.0,0.21237369985141163,,2.0,0.75,8.0,0.26455493,1.0,8.0,,1.0,1.0
110,yummly,Y111,Low Carb Chicken Pad Thai Zoodles,5.0,0.5873736998514116,4.0,4.0,0.25,,,2.5,,,3.0,1.333333333
111,yummly,Y112,Slow Cooker Pad Thai Chicken,2.0,0.21237369985141163,8.0,3.0,0.5,4.0,0.5,2.0,,,,1.333333333
112,yummly,Y113,Shrimp Pad Thai,4.0,0.46237369985141163,4.0,4.0,1.5,8.0,1.5,,,,2.0,
113,yummly,Y114,Pad Thai,4.5,0.5248736998514116,4.0,1.0,,4.0,1.0,,2.0,1.0,2.0,
114,yummly,Y115,Raw Pad Thai,5.0,0.5873736998514116,2.0,,1.5,,,3.0,,2.0,2.0,3.0
115,yummly,Y116,Keto & Paleo Pad Thai,5.0,0.5873736998514116,4.0,3.0,1.0,,,,,,,
116,yummly,Y117,Paleo Pad Thai with Carrot and Sweet Potato Noodles,4.0,0.46237369985141163,8.0,1.0,,,1.5,2.0,,4.0,4.0,2.0
117,yummly,Y118,Chicken Pad Thai (No Tamarind),4.0,0.46237369985141163,,2.0,0.5,,,6.0,8.0,3.0,,0.75
118,yummly,Y119,Vegan Pad Thai,3.5,0.39987369985141163,,1.0,0.5,7.0,1.0,3.0,4.0,2.0,3.0,2.666666667
119,yummly,Y120,Spicy Spaghetti Squash Pad Thai,5.0,0.5873736998514116,8.0,2.0,,7.0,2.0,,4.0,,,0.5
120,yummly,Y121,Spiralized Veggie Pad Thai,5.0,0.5873736998514116,8.0,,0.75,,,4.0,,1.0,,2.0
121,yummly,Y122,Spaghetti Squash Pad Thai,5.0,0.5873736998514116,,3.0,,4.0,,,,2.0,3.0,0.666666667
122,yummly,Y123,Zucchini Noodle Healthy Pad Thai,5.0,0.5873736998514116,8.0,,0.25,,,,,3.0,,2.0
123,yummly,Y124,Chrissy Teigen's Pad Thai Carbonara,4.5,0.5248736998514116,,2.0,0.5,,0.25,2.0,4.0,2.0,,
124,yummly,Y125,Quick and Easy Pad Thai,4.0,0.46237369985141163,4.0,2.0,1.0,,1.5,2.0,,2.0,,0.666666667
125,yummly,Y126,Classic Pad Thai,5.0,0.5873736998514116,,2.0,0.125,4.0,0.5,2.0,,,,
126,yummly,Y127,Chicken and Spaghetti Squash Pad Thai,5.0,0.5873736998514116,,,0.5,,3.0,2.0,,3.0,2.0,2.666666667
127,yummly,Y128,Pad Thai Recipe with Spaghetti Squash Noodles,5.0,0.5873736998514116,8.0,4.0,,,,,,,1.0,
128,yummly,Y129,Healthy Chicken Pad Thai,5.0,0.5873736998514116,,2.0,1.5,,,1.5,,2.0,,
129,yummly,Y130,Spaghetti Squash Shrimp Pad Thai,5.0,0.5873736998514116,,3.0,0.25,7.0,2.0,2.5,,,2.0,1.0
130,yummly,Y131,Shrimp Pad Thai Spring Rolls,4.0,0.46237369985141163,4.0,3.0,0.75,,,0.4999999995,,2.0,3.0,1.0
131,yummly,Y132,Veggie Pad Thai Zoodles with Peanut Dressing,5.0,0.5873736998514116,4.0,6.0,0.75,4.0,,2.0,4.0,,,1.0
132,yummly,Y133,Tex-Mex Pad Thai,4.0,0.46237369985141163,8.0,,1.0,,,,4.0,,,
133,yummly,Y134,Spaghetti Squash Pad Thai,4.0,0.46237369985141163,8.0,3.0,0.5,8.0,2.0,,16.0,,,1.333333333
134,yummly,Y135,Chicken Pad Thai Noodle Bowl,1.0,0.08737369985141163,,,0.25,,,2.0,4.0,,,2.0
135,yummly,Y136,Veggie Pad Thai Zoodles with Peanut Dressing,4.0,0.46237369985141163,8.0,,0.5,8.0,,3.0,,,0.333333333,1.0
136,yummly,Y137,Pad Thai Spaghetti Squash “Noodles”,5.0,0.5873736998514116,,,1.25,,,,,,,
137,yummly,Y138,Peanut-y Pad Thai,5.0,0.5873736998514116,8.0,2.0,,,,1.0,,1.0,1.0,1.0
138,yummly,Y139,Veggie Pad Thai Zoodles,5.0,0.5873736998514116,,,0.25,10.0,,,4.0,,,1.0
139,yummly,Y140,Shrimp Pad Thai with a Spicy Peanut Sauce,5.0,0.5873736998514116,,,0.5,,,,,,,1.0
140,yummly,Y141,Spiralized Pad Thai Chicken Meal Prep Bowls,5.0,0.5873736998514116,7.8,1.0,1.5,12.0,1.0,2.0,8.0,,,3.0
141,yummly,Y142,Shrimp Pad Thai,5.0,0.5873736998514116,8.0,2.0,0.25,,,,4.0,,0.666666666,
142,yummly,Y143,Vegetarian Pad Thai,5.0,0.5873736998514116,4.0,,0.5,8.0,,,,2.0,1.0,0.666666667
143,yummly,Y144,Instant Pot Pad Thai Chicken,4.0,0.46237369985141163,,9.0,0.75,10.582188,,2.0,5.333333328,3.0,,
144,yummly,Y145,Rainbow Vegetarian Pad Thai with Peanuts and Basil,5.0,0.5873736998514116,2.0,2.0,,,,,,,,1.333333333
145,yummly,Y146,Spaghetti Squash Pad Thai,3.5,0.39987369985141163,,,0.5,4.0,,,4.0,1.0,3.0,2.0
146,yummly,Y147,Whole30 Spaghetti Squash Pad Thai,5.0,0.5873736998514116,8.0,2.0,,,,4.0,,,,1.0
147,yummly,Y148,Chicken Pad Thai,5.0,0.5873736998514116,5.333333333333333,3.0,,,,1.0,8.0,2.0,0.333333333,0.666666667
148,yummly,Y149,Pad Thai Zucchini Noodle + Quinoa Salad,4.0,0.46237369985141163,,,1.0,,,2.0,4.0,2.0,1.0,
149,yummly,Y150,Gluten-Free Vegetarian Pad Thai,5.0,0.5873736998514116,2.4,3.0,1.0,,,2.0,,,,2.666666667
150,yummly,Y151,One Pot Pad Thai Noodles,4.5,0.5248736998514116,4.0,2.0,0.75,16.0,1.0,6.0,5.333333333,4.0,,
151,yummly,Y152,Raw Pad Thai with Spicy Almond Sauce,4.0,0.46237369985141163,8.0,1.0,0.5,,0.333333333,1.0,4.0,,,1.0
152,yummly,Y153,Sweet Potato Zoodle Pad Thai,4.0,0.46237369985141163,,,1.25,,,4.0,8.0,,,
153,yummly,Y154,Quick Tofu Pad Thai,4.0,0.46237369985141163,,4.0,,,0.5,,,,,1.333333333
154,yummly,Y155,Miso Vegetable Pad Thai,4.5,0.5248736998514116,2.0,6.0,0.5,7.054792,,,8.0,,,1.0
155,yummly,Y156,Pad Thai,4.5,0.5248736998514116,,1.0,,8.0,,0.666666666,,,,
156,yummly,Y157,Real Shrimp Pad Thai,5.0,0.5873736998514116,,,0.5,7.054792,,6.0,,,,
157,yummly,Y158,Chicken Pad Thai,4.5,0.5248736998514116,6.0,4.0,,8.0,,,,1.0,3.0,
158,yummly,Y159,Instant Pot Pressure Cooker Pad Thai {ผัดไทยกุ้งสด},3.0,0.33737369985141163,3.6,,1.5,8.0,,,2.0,2.0,2.0,0.666666667
159,yummly,Y160,Creamy Pad Thai,4.0,0.46237369985141163,5.333333333333333,2.0,1.0,8.0,0.881849768,0.1666666665,5.333333333,2.0,2.0,1.333333333
160,allrecipes,A001,Spaghetti Squash Pad Thai,4.707207207207207,0.5617819100387634,,4.0,0.3333333333333333,10.582188,3.0,3.0,5.333333333333333,,,
161,allrecipes,A002,Dad's Pad Thai,3.8819444444444446,0.4586240646934181,8.0,1.0,0.75,,1.0,1.0,8.0,,1.0,2.0
162,allrecipes,A003,Chicken Pad Thai with Peanut Sauce,5.0,0.5983810091378625,,1.5,1.0,6.0,1.0,5.335999999999999,,4.0,4.0,
163,allrecipes,A004,Pad Thai,3.9594240837696337,0.46830901960906673,,2.0,,8.0,1.0,1.0,4.0,2.0,4.0,
164,allrecipes,A005,Sukhothai Pad Thai,4.327751196172249,0.5143499086593937,10.666666666666666,,0.5,12.0,,1.0,,4.0,2.0,
165,allrecipes,A006,A Pad Thai Worth Making,3.980392156862745,0.47093002874570566,12.0,3.0,1.0,12.0,3.0,0.333333333,,4.0,,
166,allrecipes,A007,Authentic Pad Thai,4.304054054054054,0.5113877658946193,4.0,0.75,,8.0,1.0,,,2.0,3.0,
167,allrecipes,A008,Authentic Pad Thai Noodles,4.246753246753247,0.5042251649820184,24.0,,0.75,12.0,2.0,4.0,,4.0,4.0,
168,allrecipes,A009,Classic Pad Thai,3.7096774193548394,0.43709068655721744,2.0,1.5,,,2.0,1.0,4.0,1.0,,
169,allrecipes,A010,Toronto Pad Thai,4.315789473684211,0.5128546933483888,16.0,3.0,1.5,,5.0,,,,3.0,
170,allrecipes,A011,Classic Chicken Pad Thai,5.0,0.5983810091378625,3.0,1.5,,8.0,2.0,4.0,,4.0,,
171,allrecipes,A012,Easy Pad Thai with Shrimp and Hillshire Farm® Smoked Sausage,4.571428571428571,0.5448095805664339,3.0,4.0,0.75,10.0,4.0,,4.0,3.0,6.0,
172,allrecipes,A013,Zucchini Noodles Pad Thai,4.607142857142857,0.5492738662807196,0.0,3.0,0.75,0.0,1.5,4.0,,,0.666666666,
173,allrecipes,A014,Nicola's Pad Thai,4.214285714285714,0.5001667234235768,8.0,5.0,1.25,,3.0,,,2.0,,0.3333333333333333
174,allrecipes,A015,Okinawan-Style Pad Thai,4.590909090909091,0.5472446455014989,12.0,3.0,0.125,8.0,2.0,,4.0,,,
175,allrecipes,A016,Spicy Shrimp Pad Thai,4.633333333333334,0.5525476758045292,8.0,2.0,1.5,12.0,,2.0,,4.0,,0.25
176,allrecipes,A017,Pad Thai with Tofu,4.2,0.49838100913786254,2.0,3.0,1.5,8.0,3.0,,0.333333333,2.0,3.0,
177,allrecipes,A018,Pad Thai Noodles,4.5,0.5358810091378625,1.0,,,,,3.0,0.08333333325,1.0,,
178,allrecipes,A019,Carrie's Pad Thai Salad,4.785714285714286,0.5715952948521482,24.0,1.5,,,2.0,4.0,1.0,1.0,1.5,
179,allrecipes,A020,Shirataki Meatless Meat Pad Thai,4.8,0.5733810091378625,16.0,2.0,0.25,12.0,2.0,3.0,,4.0,2.0,
180,allrecipes,A021,Joe's Fusion Chicken Pad Thai,4.423728813559322,0.5263471108327777,1.0,,0.125,,,2.0,4.0,2.0,,
181,allrecipes,A022,Soy-Free Chicken Pad Thai,5.0,0.5983810091378625,2.0,3.0,,16.0,1.0,1.0,,4.0,6.0,0.5
182,allrecipes,A023,Pad Thai Quinoa Bowl,4.5875,0.5468185091378626,8.0,1.0,0.5,4.0,0.5,,,,,1.333333333
183,allrecipes,A024,Raw Pad Thai,4.592592592592593,0.5474550832119366,,,,,1.0,1.0,8.0,3.0,,1.333333333
184,allrecipes,A025,Simple Shrimp Pad Thai,5.0,0.5983810091378625,,5.0,0.5,,0.5,4.0,,,,
