,common_ingredient_name,ingredient_category,default_unit,recipe_count
143,green bean,beans / peas / lentils / nuts / nut butter / seeds,tablespoon,1
144,butter,cheese / butter,tablespoon,1
145,taco seasoning,chili / pepper,teaspoon,1
146,curry powder,herbs,tablespoon,1
147,galangal,herbs,tablespoon,1
148,condiments,sauce / salt,tablespoon,1
149,sunflower oil,oil,tablespoon,1
150,flaxseed oil,oil,tablespoon,1
151,onion powder,onion,teaspoon,1
152,safflower oil,oil,tablespoon,1
153,kelp noodle,noodle / spaghetti,ounce,1
154,sausage,meat,ounce,1
155,bacon,meat,slice,1
156,kaffir lime leaf,herbs,tablespoon,1
157,ginger garlic paste,herbs,teaspoon,1
158,beef,meat,ounce,1
159,rapeseed oil,oil,tablespoon,1
160,shrimp scampi,meat,ounce,1
161,mustard,sauce / salt,tablespoon,1
162,baby corn,vegetable,cup,1
163,avocado,vegetable,cup,1
164,syrup,sugar / sweeteners / syrup,tablespoon,1
165,soft tofu,tofu,ounce,1
166,molasses,sugar / sweeteners / syrup,tablespoon,1
167,peanut sauce,sauce / salt,tablespoon,1
168,seaweed,seaweed,sheet,1
169,soybean paste,soybean paste,tablespoon,1
170,kale,vegetable,bunch,1
171,greens,vegetable,tablespoon,1
172,baby spinach,vegetable,cup,1
173,butternut squash,vegetable,cup,1
174,banana blossom,vegetable,cup,1
175,water chestnut,vegetable,cup,1
176,yellow summer squash,vegetable,unit,1
177,yeast,yeast,cup,1
