,recipe_source,recipe_id,recipe_name,recipe_ratings,recipe_ratings_normalized,peanut,garlic,scallion / spring onion / green onion,rice noodle,bean sprout,soy sauce,coriander / cilantro,egg,fish sauce,carrot,lime juice,lime wedge,peanut butter,vinegar,water,brown sugar,chicken breast,pepper,tamarind concentrate / tamarind paste / tamarind juice,shrimp,sriracha sauce,chili flakes,vegetable oil,lime,firm tofu,sugar,salt,minced ginger,bell pepper,sesame oil
14,yummly,Y015,Easy Pad Thai,5.0,0.5873736998514116,5.333333328,1.0,0.75,8.0,3.0,1.0,8.0,2.0,,0.5,2.0,,,,,2.0,,,,,,,,,,,,,,0.666666666
15,yummly,Y016,Chicken Pad Thai,4.0,0.46237369985141163,4.0,,0.75,8.0,0.5,3.0,,2.0,0.666666666,,,2.0,,,,,,,,,0.1666666665,,,,8.0,,,,,1.0
16,yummly,Y017,Zoodle Pad Thai,5.0,0.5873736998514116,8.0,3.0,0.75,,2.0,2.0,,1.0,2.0,,,,,2.0,,0.333333333,,0.5,,8.0,,,,,,,,,0.5,
17,yummly,Y018,Easy Vegetable Pad Thai,4.5,0.5248736998514116,5.333333328,6.0,0.5,8.0,2.0,,0.5,,,1.333333333,3.0,0.5,,,0.25,4.0,,,,,,,2.0,,,,,,,
18,yummly,Y019,Pad Thai Noodles,4.0,0.46237369985141163,3.0,4.0,,6.0,0.333333333,4.0,,2.0,1.333333332,,,,,,,,,,1.0,3.6,,,3.0,,4.0,2.0,,,,
19,yummly,Y020,Easy Pad Thai,3.5,0.39987369985141163,2.0,2.0,,16.01437784,,,8.0,2.0,1.0,,2.0,4.0,4.0,,,,8.0,,,,,,,,,,,,,
20,yummly,Y021,Quick Shrimp Pad Thai,2.67,0.2961236998514116,4.0,3.0,1.0,8.0,1.0,,,2.0,2.0,,4.0,,,,,3.0,,,,12.0,,,,,,,,,,
21,yummly,Y022,Easy Vegan Pad Thai,2.0,0.21237369985141163,,4.0,1.5,8.0,,,8.0,,,,,,,,,,,,,,,,,1.0,8.0,,,,,
22,yummly,Y023,Paleo Chicken Pad Thai,4.0,0.46237369985141163,8.0,5.0,1.25,,2.0,3.0,5.0,,3.0,1.333333333,4.0,,,0.5,,,,,,,,,,,,,,,,
23,yummly,Y024,Street Pad Thai,3.5,0.39987369985141163,,1.0,,16.01437784,,,,,,2.0,,,,,0.1875,,,,,,,0.5,2.0,,,1.5,,,,
24,yummly,Y025,Best Shrimp Pad Thai,3.5,0.39987369985141163,4.0,2.0,,3.527396,1.0,2.0,,2.0,2.0,,,,,,,,,,2.0,3.527396,,,2.0,,2.1164376,2.0,,,,
25,yummly,Y026,Healthy Pad Thai,5.0,0.5873736998514116,,,,5.0,1.0,1.0,4.0,,1.5,0.5,,,,,,,,,,,,,,0.5,,,,,,
26,yummly,Y027,Lean Tofu Pad Thai,2.0,0.21237369985141163,2.0,,0.5,8.0,1.0,,4.0,,2.0,1.0,1.0,,,4.0,,,,,,,,,,,12.0,,,,,
27,yummly,Y028,Pad Thai,5.0,0.5873736998514116,2.0,4.0,1.25,8.0,1.0,,,2.0,3.0,,,,,1.0,0.75,,,1.0,2.0,12.0,,,,,,,0.08333333325,,,
28,yummly,Y029,Pad Thai,4.0,0.46237369985141163,6.0,3.0,0.25,7.0,3.0,,4.0,3.0,4.0,,2.0,,,,,,,,,8.0,,0.25,,,,3.0,,,,
29,yummly,Y030,Pad Thai,1.0,0.08737369985141163,4.0,,,4.0,2.0,,8.0,1.0,2.0,,,,,1.0,,,,,,8.0,,,,,,2.0,,,,
30,yummly,Y031,Pad Thai with Shirataki Noodles/Miracle Noodles,3.75,0.43112369985141163,5.333333328,,0.25,,,,,2.0,,,,,3.0,0.5,,,,0.5,2.0,,,0.5,,,,2.0,,,,0.5
31,yummly,Y032,Pad Thai Noodles,1.0,0.08737369985141163,2.0,,,7.054792,,,0.1666666665,2.0,2.0,,,,,,,0.333333333,,,,14.109584,0.5,0.5,,2.0,,,,,,
32,yummly,Y033,Making Pad Thai,5.0,0.5873736998514116,18.0,2.666666667,,4.0,,1.0,,2.0,,,,,,,,,,,,7.7602712,,0.5,,,6.0,,,,,
33,yummly,Y034,Super Healthy and Zesty Raw-Vegan Pad Thai [Gluten-Free],5.0,0.5873736998514116,,1.0,0.5,,2.0,,,,,1.333333333,,,,,0.5,,,,,,,,5.333333328,1.0,,,,3.0,1.0,
34,yummly,Y035,Vegetable and Tofu Pad Thai,5.0,0.5873736998514116,,2.0,2.0,8.0,,,0.125,2.0,,1.333333333,4.0,,,,,1.0,,,,,,,,,14.0,,,,,
35,yummly,Y036,Saucy Skillet Pad Thai with Chicken,5.0,0.5873736998514116,2.0,1.0,0.25,8.0,,2.0,0.333333333,2.0,2.0,,8.0,,,,,,12.0,,,,,,2.0,,,,,,1.0,
36,yummly,Y037,Chicken Pad Thai,4.38,0.5098736998514116,2.0,2.0,1.0,10.0,,8.0,4.0,3.0,1.0,1.5,1.0,,,2.0,,4.0,16.0,,,,,,,,,4.0,,,1.0,
37,yummly,Y038,Pad Thai,3.0,0.33737369985141163,8.0,,,5.0,,3.0,4.0,1.0,1.5,,,2.0,,,,,,,5.0,1.8,,,2.0,,1.0,,,,,
38,yummly,Y039,Perfect Beginner's Pad Thai,4.0,0.46237369985141163,2.0,2.0,,4.2328752,2.0,5.333333328,5.333333328,2.0,4.002,,,,,,,,,,5.0,4.0,,,3.0,,3.527396,,,,,
39,yummly,Y040,Weeknight Pad Thai,4.25,0.49362369985141163,6.0,,1.5,8.0,1.0,4.0,,4.0,,,,,,,,3.0,,,2.0,,,,,,,6.666666667,,,,
40,yummly,Y041,Pad Thai Classic Stir-Fried Noodles,5.0,0.5873736998514116,5.333333328,3.0,0.75,,0.881849768,,,3.0,2.0,,,,,,,,,,4.002,,,,3.0,,,,,,,
41,yummly,Y042,Instant Pot Chicken Pad Thai,4.24,0.49237369985141166,16.0,4.0,1.0,4.0,2.0,,,,2.0,1.0,,,,,1.5,,16.0,0.5,4.0,,,,,,,,,,,
42,yummly,Y043,PAD THAI SAUCE,5.0,0.5873736998514116,5.333333328,,,,2.0,,8.0,,,,4.0,,,,,4.0,,,2.0,,,,,,,0.333333333,,,,
43,yummly,Y044,Vegan Pad Thai,5.0,0.5873736998514116,,4.0,0.75,12.5,,2.0,5.333333328,,,1.333333333,,,4.0,,,,,,,,2.0,,,,7.0,,,,1.0,
44,yummly,Y045,Spaghetti Squash Pad Thai,4.0,0.46237369985141163,8.0,2.0,1.0,,,3.0,,2.0,,,,,,,0.25,,,,,,,1.0,,,8.0,,,,,
45,yummly,Y046,Chicken Pad Thai,4.67,0.5461236998514116,2.0,4.0,,7.054792,,5.333333328,,,2.0,,,,,,,2.0,,1.0,,,,,,,,,,,1.0,
46,yummly,Y047,Pad Thai,5.0,0.5873736998514116,2.0,3.0,1.5,8.81849,0.5,3.0,,,0.1666666665,,,1.0,,,,,,1.0,2.0,,,,,1.0,,,1.0,3.6,,
47,yummly,Y048,Chicken Pad Thai,5.0,0.5873736998514116,6.0,2.0,0.5,12.0,0.0625,4.0,,3.0,,1.0,,,,3.0,,6.0,24.0,,1.0,,,,,1.0,,2.0,,,1.0,
48,yummly,Y049,Easy Chicken Pad Thai,4.5,0.5248736998514116,,,0.25,,1.763699536,,1.05,1.0,,,,,,,,,16.0,,,,,,,1.0,,,0.08333333325,,,
49,yummly,Y050,Healthy Pad Thai,4.0,0.46237369985141163,4.0,2.0,,3.527396,2.0,0.1666666665,,1.0,,,2.0,,,,,,7.054792,,,,,,,,,,,,,
50,yummly,Y051,Vegetable Ramen Pad Thai,4.21,0.48862369985141163,,,,,,,,,0.666666666,,,,3.0,,0.125,,,,,,,,,,,,,,,
51,yummly,Y052,Easy Vegan Pad Thai,4.22,0.4898736998514116,,2.0,,10.0,,6.0,,,,,,,2.0,,1.0,,,,,,0.08333333325,,1.5,2.0,6.0,,,,,
52,yummly,Y053,Chicken Pad Thai,5.0,0.5873736998514116,,0.5,0.125,4.409245,,,,1.0,,,0.999999999,,,0.999999999,0.041666666,0.999999999,8.81849,,,,,,,,,,,,,
53,yummly,Y054,Vegan Pad Thai,4.0,0.46237369985141163,2.0,3.0,0.75,8.0,,,,,2.0,1.333333333,1.0,,2.0,1.0,,2.0,,,,,,,,,7.5,,0.1666666665,,1.0,0.666666666
54,yummly,Y055,Healthy Chicken Pad Thai,4.71,0.5511236998514116,,2.0,0.25,5.0,0.5,,,2.0,,2.0,2.0,,1.0,1.5,,,16.0,1.0,,,,,,,,3.0,,,,
55,yummly,Y056,30-Minute Vegan Pad Thai,5.0,0.5873736998514116,5.333333328,3.0,1.0,8.0,1.0,4.0,,,4.0,2.0,,2.0,2.0,2.0,,,,,,,,,,,14.0,,0.08333333325,,,
56,yummly,Y057,Vegan Pad Thai,1.0,0.08737369985141163,5.333333328,1.0,0.25,3.5,1.0,,,,,,,,,,0.25,,,,,,1.0,,,0.5,,,,,,
57,yummly,Y058,CHICKEN AND PRAWN PAD THAI,4.0,0.46237369985141163,,4.0,4.5,,1.0,3.0,8.0,3.0,,,,,,,,,8.0,,,6.0,,,2.0,,,,,,,
58,yummly,Y059,One-Pot Pad Thai,4.0,0.46237369985141163,4.0,3.0,0.25,8.0,1.0,,,2.0,2.5,,,,,,,,8.0,,,,,,,1.0,,,,,,2.0
59,yummly,Y060,15 Minute Pad Thai,4.0,0.46237369985141163,8.0,,,4.0,0.5,4.0,,2.0,,,,,,3.0,,,,,,,,,,,,1.0,,1.0,,
60,yummly,Y061,Pad Thai,4.67,0.5461236998514116,,4.0,0.75,,1.0,,4.0,2.0,3.0,,,2.0,2.0,2.0,,5.0,,,,8.0,,,,,,,,,1.0,
61,yummly,Y062,Pad Thai Spring Rolls,5.0,0.5873736998514116,8.0,3.0,,8.0,,0.333333333,,,3.0,2.0,0.5,,,,,,,,,,1.0,,,,14.0,,,,,
62,yummly,Y063,Raw Vegan Pad Thai,5.0,0.5873736998514116,,,,8.0,1.0,,8.0,,,,2.0,,,2.0,,,,,,,,,,,,3.0,,,,0.666666666
63,yummly,Y064,Pad Thai Inspired Noodle Dish,5.0,0.5873736998514116,,1.0,,,,0.666666666,5.333333333,,,,0.1666666665,,,,,,,,3.0,,,,,,,,,,,0.1666666665
64,yummly,Y065,Spicy Vegan Pad Thai,5.0,0.5873736998514116,,0.5,,8.0,,1.0,,,,1.333333333,3.0,,1.0,2.0,,3.0,,1.0,,,2.0,,,,16.0,4.0,,2.0,,0.666666666
65,yummly,Y066,Easy Vegetable Pad Thai,3.5,0.39987369985141163,8.0,2.0,0.75,8.0,,3.0,,2.0,,,2.0,,,,,2.0,,,,,2.0,,,,,,,,,
66,yummly,Y067,Vegan Pad Thai,4.0,0.46237369985141163,4.0,1.0,1.5,8.0,,4.0,8.0,,,2.666666667,,,,,,,,,,,1.0,,0.666666666,,14.0,,,,0.5,
67,yummly,Y068,Pad Thai,5.0,0.5873736998514116,,3.0,,8.0,,3.0,8.0,2.0,,,,,2.0,2.0,,5.0,,,,8.0,0.041666666625,,,,,,,,1.0,
68,yummly,Y069,Chicken Pad Thai,4.6,0.5373736998514116,8.0,3.0,0.75,8.0,1.5,3.0,,2.0,3.0,,1.0,,3.0,3.0,,3.0,24.0,0.5,3.0,,,0.5,,2.0,,,,,,1.0
69,yummly,Y070,Spring Vegetable Pad Thai,3.8,0.4373736998514116,4.0,3.0,,,,3.0,8.0,,,0.666666667,,,2.0,,,,,,,,1.0,,,,,4.0,,1.0,1.0,4.0
70,yummly,Y071,Chicken Pad Thai,5.0,0.5873736998514116,,2.0,,14.0,1.0,3.0,,2.0,,1.5,,,,,,,16.0,,,,,,,,,,,,,4.0
71,yummly,Y072,Pad Thai Recipe (Vegan),5.0,0.5873736998514116,8.0,,,12.0,,4.0,,,3.0,,,,0.1666666665,,3.0,0.666666666,,,,,,0.5,,,,,0.08333333325,0.25,,
72,yummly,Y073,Chicken Pad Thai Meal Prep,2.5,0.27487369985141163,4.0,3.0,,8.0,,1.0,,3.0,,1.333333333,,,,2.0,0.75,4.0,16.0,,,,,,,,,,,,1.0,
73,yummly,Y074,Ramen Pad Thai,5.0,0.5873736998514116,4.0,,0.75,10.0,,2.0,,,4.0,,,,1.5,,,,,,,,1.0,2.0,2.0,1.0,,,,,,
74,yummly,Y075,Lightened Up Pad Thai,4.5,0.5248736998514116,,2.0,,,,,5.333333328,,,3.0,,1.0,,2.0,1.75,,,,,,,,1.0,,15.0,,,,,
75,yummly,Y076,Pork Pad Thai,4.0,0.46237369985141163,,3.0,1.0,4.0,1.5,4.0,5.333333328,,,1.0,,,4.0,,0.25,2.0,,,,,,,,,,,,,1.0,0.333333333
76,yummly,Y077,Healthy Chicken Pad Thai Meal Prep,3.75,0.43112369985141163,4.0,4.0,0.25,8.0,,4.0,,,,,,,,4.0,0.25,,18.0,,,,,,,0.5,,,,,1.0,
77,yummly,Y078,Chicken Pad Thai,4.0,0.46237369985141163,,2.0,1.0,4.0,3.0,,8.0,2.0,,,,,0.666666666,,,,8.0,,,,,0.5,,1.0,,,,,,
78,yummly,Y079,10-minute pad Thai,4.0,0.46237369985141163,8.0,3.0,0.5,8.81849,1.0,,2.0,1.0,3.0,,,1.0,,,,,,,,7.054792,,0.25,,1.0,,,,,,
79,yummly,Y080,Instant Pot Pad Thai Stir Fry,4.75,0.5561236998514116,1.0,9.0,,7.054792,1.5,,,,1.0,1.0,2.0,,4.0,,,,,,,,,,,,,2.0,,1.0,,
80,yummly,Y081,10 Minute Shrimp Zoodle Pad Thai,4.0,0.46237369985141163,,3.0,0.75,,0.881849768,3.0,8.0,,,1.0,1.0,,,,4.0,2.0,,,,8.0,,,,,,,,,,
81,yummly,Y082,Pad Thai,2.0,0.21237369985141163,4.0,,0.5,,0.749572303,,,2.0,1.0,,,,,,,2.0,,,,1.8,,,,,,0.666666666,,,,
82,yummly,Y083,Pad Thai,5.0,0.5873736998514116,1.0,1.0,0.5,7.054792,,,,,2.5,,4.0,,2.0,,,,,,,,1.0,,,,,,,3.0,,
83,yummly,Y084,Pad Thai,1.0,0.08737369985141163,,4.0,,16.0,,,,,,1.0,,,1.5,,,,,,2.0,,,,,,,,,,0.5,
84,yummly,Y085,Pad Thai,4.0,0.46237369985141163,,,0.5,8.0,1.0,5.0,,2.0,,,2.0,,,,1.0,1.0,8.0,,,,0.1666666665,,,2.0,,,,,,
85,yummly,Y086,Pad Thai,1.0,0.08737369985141163,5.333333333,4.0,1.5,8.81849,,2.0,,,3.0,,,,,,,,16.0,,,,,,,,8.0,,,3.0,,
86,yummly,Y087,Easy Pad Thai,4.0,0.46237369985141163,16.0,2.0,0.5,,0.5,0.5,,2.0,,0.75,3.0,,,,,3.0,,,,,,,,,,,,,,
87,yummly,Y088,Paleo Pad Thai with Zucchini Noodles,5.0,0.5873736998514116,4.0,3.0,1.25,8.0,0.881849768,4.0,5.333333333,2.0,,1.0,0.666666666,4.0,,0.333333333,,,,,,,,,,,,,,3.0,,
88,yummly,Y089,Shrimp Pad Thai,4.0,0.46237369985141163,,2.0,,,,,,2.0,,,,,,,,,,,,8.0,0.1666666665,,,,,,,,,
89,yummly,Y090,Spaghetti Squash Pad Thai,4.6,0.5373736998514116,,2.0,1.0,,,,,2.0,3.5,2.0,,,,,0.333333333,,,0.5,,,,,,,,,,,,
90,yummly,Y091,"""Cheater"" Pad Thai",2.0,0.21237369985141163,8.0,2.0,,,,,3.0,,,,,,1.0,,0.1875,,,,2.0,,,,,1.0,,,,,,
91,yummly,Y092,Prawn pad Thai,5.0,0.5873736998514116,,2.0,1.25,4.0,1.5,4.0,,2.0,,0.666666667,1.5,,,,,,,1.0,4.0,12.345886,,,,,,2.5,,,,
92,yummly,Y093,Shrimp Pad Thai,4.0,0.46237369985141163,,4.0,,12.345886,1.5,,8.0,3.0,0.666666666,0.333333333,,,,,,,,,,8.0,,,,,,,,,,
93,yummly,Y094,Healthy Shrimp Pad Thai,2.0,0.21237369985141163,,,1.5,10.582188,0.75,,,3.0,3.0,0.5,,,,1.5,,,,,,8.0,,,,,,,,,,
94,yummly,Y095,Vegan Pad Thai,5.0,0.5873736998514116,4.0,2.0,0.5,4.0,,3.0,,,2.0,0.5,,,,,1.0,,,,,,,,,,,,,6.0,0.5,1.0
95,yummly,Y096,Chicken Pad Thai,4.0,0.46237369985141163,4.0,3.0,,8.0,,2.0,,1.0,,,2.0,,,1.4999999985,0.125,2.0,16.0,,5.333333328,,,,,,,3.0,,,,
96,yummly,Y097,Cheater Pad Thai,5.0,0.5873736998514116,4.0,2.0,0.5,8.0,0.5,2.0,4.0,1.0,3.0,,,,,,,,,,,16.0,,,3.0,,,,,,,
97,yummly,Y098,Paleo Pad Thai,4.0,0.46237369985141163,,2.0,0.25,16.0,,3.0,2.0,2.0,,,2.0,,,0.1666666665,,,,,,,1.0,,,,,,,0.25,,
98,yummly,Y099,Tofu Pad Thai,4.0,0.46237369985141163,,6.0,0.5,,1.0,1.0,2.0,2.0,,,,1.0,,,0.0625,4.0,,1.0,,,,,,,15.0,,,1.5,,
99,yummly,Y100,Chicken Pad Thai,5.0,0.5873736998514116,5.333333328,2.0,,8.0,2.0,,,1.0,2.0,,,1.0,,3.0,,,8.0,,,,,,,,,,,,,
100,yummly,Y101,Vegan Pad Thai,4.0,0.46237369985141163,1.0,1.0,,,,,,2.0,3.5,,,,,,0.125,,,,,,,0.5,,,,,,,,
101,yummly,Y102,Pad Thai Sauce,5.0,0.5873736998514116,,3.0,0.75,,2.0,,8.0,,,1.333333333,,,,3.0,0.1875,,,1.0,,,,,,,,,,,1.0,
102,yummly,Y103,Pad Thai Noodles,5.0,0.5873736998514116,,2.0,0.25,10.0,2.0,,,,,1.333333333,3.0,,,,,,,,,,,,,3.0,,2.5,,,,
103,yummly,Y104,Easy Spicy Chicken Pad Thai,5.0,0.5873736998514116,4.0,,,6.0,,,,4.0,,0.75,1.0,,1.0,1.0,,2.0,8.0,0.125,,,,,,,,,,,0.5,
104,yummly,Y105,One Pot Wonder Pad Thai Inspired,5.0,0.5873736998514116,4.0,1.0,0.75,4.0,1.0,,5.333333328,1.0,1.0,1.0,,,2.0,,,,,,2.0,,,,,,,,,6.0,1.0,
105,yummly,Y106,Pad Thai Egg Roll In A Bowl {Instant Pot | Stove Top},3.0,0.33737369985141163,4.0,,1.0,,1.0,,2.0,,,,3.0,,,2.5,,,,,,,1.0,,,,,,,,,
106,yummly,Y107,Keto Pad Thai With Shirataki Noodles,5.0,0.5873736998514116,4.0,2.0,0.25,,,3.0,2.0,6.0,,,3.0,,,,2.0,,,0.25,,7.054792,,,,,,,,,,
107,yummly,Y108,Vegan Pad Thai with Tofu,3.0,0.33737369985141163,4.0,3.0,0.75,8.0,0.5,4.0,5.333333333,2.0,1.5,0.5,3.0,,5.333333328,,,,,,1.0,,,1.0,,,,,,,,
108,yummly,Y109,Protein-Packed Pad Thai,5.0,0.5873736998514116,4.2,4.0,1.5,8.0,,1.0,,,,1.333333333,,,4.0,1.0,,,,,,,,,,,,,,,,
109,yummly,Y110,Pad Thai with Spaghetti Squash,2.0,0.21237369985141163,,2.0,0.75,8.0,0.26455493,1.0,8.0,,1.0,1.0,,,0.5,2.0,,,,,,,,,,1.0,14.0,,,,,
110,yummly,Y111,Low Carb Chicken Pad Thai Zoodles,5.0,0.5873736998514116,4.0,4.0,0.25,,,2.5,,,3.0,1.333333333,,1.0,1.0,3.0,0.333333333,,16.0,,,,,0.5,,1.0,,,,,,
111,yummly,Y112,Slow Cooker Pad Thai Chicken,2.0,0.21237369985141163,8.0,3.0,0.5,4.0,0.5,2.0,,,,1.333333333,,,8.0,2.0,,3.0,16.0,4.0,,,,,,,,,,,,2.0
112,yummly,Y113,Shrimp Pad Thai,4.0,0.46237369985141163,4.0,4.0,1.5,8.0,1.5,,,,2.0,,,,,5.333333328,0.25,,,,,8.0,,2.0,,1.0,,,,,,
113,yummly,Y114,Pad Thai,4.5,0.5248736998514116,4.0,1.0,,4.0,1.0,,2.0,1.0,2.0,,,,,,0.666666667,3.0,5.291094,,,,,,,,4.0,,,,,
114,yummly,Y115,Raw Pad Thai,5.0,0.5873736998514116,2.0,,1.5,,,3.0,,2.0,2.0,3.0,2.0,,,,,,,,,,,,3.0,,,,,1.0,,
115,yummly,Y116,Keto & Paleo Pad Thai,5.0,0.5873736998514116,4.0,3.0,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,4.0,,,,
116,yummly,Y117,Paleo Pad Thai with Carrot and Sweet Potato Noodles,4.0,0.46237369985141163,8.0,1.0,,,1.5,2.0,,4.0,4.0,2.0,,,,0.333333333,,,,,1.5,,,,,,,,,,0.5,2.5
117,yummly,Y118,Chicken Pad Thai (No Tamarind),4.0,0.46237369985141163,,2.0,0.5,,,6.0,8.0,3.0,,0.75,,1.0,,2.0,,4.0,,,,,1.0,,,0.5,,,,,,0.333333333
118,yummly,Y119,Vegan Pad Thai,3.5,0.39987369985141163,,1.0,0.5,7.0,1.0,3.0,4.0,2.0,3.0,2.666666667,2.0,,4.0,,,2.0,,1.0,,,,,1.0,,,,,,,
119,yummly,Y120,Spicy Spaghetti Squash Pad Thai,5.0,0.5873736998514116,8.0,2.0,,7.0,2.0,,4.0,,,0.5,1.0,,2.0,1.0,,,,,,,0.666666666,,,,8.0,,,3.0,,
120,yummly,Y121,Spiralized Veggie Pad Thai,5.0,0.5873736998514116,8.0,,0.75,,,4.0,,1.0,,2.0,,,,2.0,0.25,3.0,,,,,,,,,,,,,,
121,yummly,Y122,Spaghetti Squash Pad Thai,5.0,0.5873736998514116,,3.0,,4.0,,,,2.0,3.0,0.666666667,,,,3.0,,,16.0,,,6.0,,,,,,,,,,
122,yummly,Y123,Zucchini Noodle Healthy Pad Thai,5.0,0.5873736998514116,8.0,,0.25,,,,,3.0,,2.0,,,,,,,16.0,,,,,,,,,,,,,
123,yummly,Y124,Chrissy Teigen's Pad Thai Carbonara,4.5,0.5248736998514116,,2.0,0.5,,0.25,2.0,4.0,2.0,,,,,,,,,,,,,,,,0.5,,,,,,
124,yummly,Y125,Quick and Easy Pad Thai,4.0,0.46237369985141163,4.0,2.0,1.0,,1.5,2.0,,2.0,,0.666666667,,,2.0,1.0,,,,,,,0.5,1.0,,,7.5,2.0,,,,
125,yummly,Y126,Classic Pad Thai,5.0,0.5873736998514116,,2.0,0.125,4.0,0.5,2.0,,,,,,,,,,2.0,,,4.0,8.0,,,,1.0,6.0,1.5,,,,
126,yummly,Y127,Chicken and Spaghetti Squash Pad Thai,5.0,0.5873736998514116,,,0.5,,3.0,2.0,,3.0,2.0,2.666666667,,,,1.0,0.25,,16.0,,,,,,5.0,,,,0.1666666665,3.0,,
127,yummly,Y128,Pad Thai Recipe with Spaghetti Squash Noodles,5.0,0.5873736998514116,8.0,4.0,,,,,,,1.0,,,,2.0,2.0,0.125,,,,,,,,,,,,,,,
128,yummly,Y129,Healthy Chicken Pad Thai,5.0,0.5873736998514116,,2.0,1.5,,,1.5,,2.0,,,,1.0,,,,,,,2.0,,,,,,,,,,1.0,
129,yummly,Y130,Spaghetti Squash Shrimp Pad Thai,5.0,0.5873736998514116,,3.0,0.25,7.0,2.0,2.5,,,2.0,1.0,,,2.0,,,,,,,8.0,,,2.0,,,,,,,
130,yummly,Y131,Shrimp Pad Thai Spring Rolls,4.0,0.46237369985141163,4.0,3.0,0.75,,,0.4999999995,,2.0,3.0,1.0,2.0,,8.0,,0.1875,,,2.0,,,,,,,,,,,,
131,yummly,Y132,Veggie Pad Thai Zoodles with Peanut Dressing,5.0,0.5873736998514116,4.0,6.0,0.75,4.0,,2.0,4.0,,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,2.0
132,yummly,Y133,Tex-Mex Pad Thai,4.0,0.46237369985141163,8.0,,1.0,,,,4.0,,,,,,,,0.25,,,1.0,1.0,,,,,0.5,,3.0,,,1.0,
133,yummly,Y134,Spaghetti Squash Pad Thai,4.0,0.46237369985141163,8.0,3.0,0.5,8.0,2.0,,16.0,,,1.333333333,0.5,,2.0,,,,,,,,,,,,,,,2.0,1.0,
134,yummly,Y135,Chicken Pad Thai Noodle Bowl,1.0,0.08737369985141163,,,0.25,,,2.0,4.0,,,2.0,2.0,,8.0,1.0,,,,,,,,0.25,,,,1.0,,3.0,,
135,yummly,Y136,Veggie Pad Thai Zoodles with Peanut Dressing,4.0,0.46237369985141163,8.0,,0.5,8.0,,3.0,,,0.333333333,1.0,,,1.0,,,,,,,,,,,,,,,,,2.0
