,recipe_id,recipe_name,recipe_creator_name,recipe_ratings,recipe_num_of_reviewers,recipe_num_saved,recipe_link
0,105,One Pot Wonder Pad Thai Inspired,HEALTHYLICIOUS.EU,5,1,16,https://www.yummly.com/recipe/One-Pot-Wonder-Pad-Thai-Inspired-1347255
0,106,Pad Thai Egg Roll In A Bowl {Instant Pot | Stove Top},THE FOODIE AND THE FIX,3,1,11,https://www.yummly.com/recipe/Pad-Thai-Egg-Roll-In-A-Bowl-_Instant-Pot-_-Stove-Top_-9148366
0,107,Keto Pad Thai With Shirataki Noodles,#GNOM-GNOM,5,2,190,https://www.yummly.com/recipe/Keto-Pad-Thai-With-Shirataki-Noodles-2374486
0,108,Vegan Pad Thai with Tofu,FORKS OVER KNIVES,3,1,14,https://www.yummly.com/recipe/Vegan-Pad-Thai-with-Tofu-9528723
0,109,Protein-Packed Pad Thai,MAKE THE BEST OF EVERYTHING,5,1,28,https://www.yummly.com/recipe/Protein-Packed-Pad-Thai-1586467
0,110,Pad Thai with Spaghetti Squash,MAKE WITH YOUR HANDS,2,1,35,https://www.yummly.com/recipe/Pad-Thai-with-Spaghetti-Squash-1901163
0,111,Low Carb Chicken Pad Thai Zoodles,LOVE AND ZEST,5,1,114,https://www.yummly.com/recipe/Low-Carb-Chicken-Pad-Thai-Zoodles-1995539
0,112,Slow Cooker Pad Thai Chicken,MAKE THE BEST OF EVERYTHING,2,1,166,https://www.yummly.com/recipe/Slow-Cooker-Pad-Thai-Chicken-2001995
0,113,Shrimp Pad Thai,TASTE OF HOME,4,1,17,https://www.yummly.com/recipe/Shrimp-Pad-Thai-1019536
0,114,Pad Thai,RECIPETIN EATS,4.5,6,1000,https://www.yummly.com/recipe/Pad-Thai-2567285
0,115,Raw Pad Thai,VEGANGELA,5,1,65,https://www.yummly.com/recipe/Raw-Pad-Thai-634105
0,116,Keto & Paleo Pad Thai,KETO DIET,5,1,4,https://www.yummly.com/recipe/Keto-_-Paleo-Pad-Thai-9161108
0,117,Paleo Pad Thai with Carrot and Sweet Potato Noodles,NOSH AND NOURISH,4,1,8,https://www.yummly.com/recipe/Paleo-Pad-Thai-with-Carrot-and-Sweet-Potato-Noodles-1032500
0,118,Chicken Pad Thai (No Tamarind),IOWA GIRL EATS,4,1,11,https://www.yummly.com/recipe/Chicken-Pad-Thai-_No-Tamarind_-9426549
0,119,Vegan Pad Thai,APRIL J. HARRIS,3.5,2,58,https://www.yummly.com/recipe/Vegan-Pad-Thai-992536
0,120,Spicy Spaghetti Squash Pad Thai,WHITNEY E. RD,5,1,65,https://www.yummly.com/recipe/Spicy-Spaghetti-Squash-Pad-Thai-2583702
0,121,Spiralized Veggie Pad Thai,LIFE MADE SIMPLE,5,1,69,https://www.yummly.com/recipe/Spiralized-Veggie-Pad-Thai-1567151
0,122,Spaghetti Squash Pad Thai,LEXI'S CLEAN KITCHEN,5,1,175,https://www.yummly.com/recipe/Spaghetti-Squash-Pad-Thai-2695725
0,123,Zucchini Noodle Healthy Pad Thai,ABBEY'S KITCHEN,5,1,810,https://www.yummly.com/recipe/Zucchini-Noodle-Healthy-Pad-Thai-2145337
0,124,Chrissy Teigen's Pad Thai Carbonara,GET THE GLOSS,4.5,2,39,https://www.yummly.com/recipe/Chrissy-Teigen_s-Pad-Thai-Carbonara-2516370
0,125,Quick and Easy Pad Thai,BLUE ZONES,4,1,48,https://www.yummly.com/recipe/Quick-and-Easy-Pad-Thai-2557670
0,126,Classic Pad Thai,THE INSPIRED HOME BILLY PARISI,5,1,4,https://www.yummly.com/recipe/Classic-Pad-Thai-2251793
0,127,Chicken and Spaghetti Squash Pad Thai,AMY MYERS MD,5,1,28,https://www.yummly.com/recipe/Chicken-and-Spaghetti-Squash-Pad-Thai-896525
0,128,Pad Thai Recipe with Spaghetti Squash Noodles,MY FOOD CHANNEL,5,1,17,https://www.yummly.com/recipe/Pad-Thai-Recipe-with-Spaghetti-Squash-Noodles-2653454
0,129,Healthy Chicken Pad Thai,THIS SILLY GIRL'S KITCHEN,5,1,87,https://www.yummly.com/recipe/Healthy-Chicken-Pad-Thai-9453604
0,130,Spaghetti Squash Shrimp Pad Thai,CLOSET COOKING,5,2,893,https://www.yummly.com/recipe/Spaghetti-Squash-Shrimp-Pad-Thai-495981
0,131,Shrimp Pad Thai Spring Rolls,TASTE AND SEE,4,1,65,https://www.yummly.com/recipe/Shrimp-Pad-Thai-Spring-Rolls-2603138
0,132,Veggie Pad Thai Zoodles with Peanut Dressing,A SAUCY KITCHEN,5,1,120,https://www.yummly.com/recipe/Veggie-Pad-Thai-Zoodles-with-Peanut-Dressing-1629660
0,133,Tex-Mex Pad Thai,A KITCHEN HOOR'S ADVENTURES,4,1,13,https://www.yummly.com/recipe/Tex-Mex-Pad-Thai-1733246
0,134,Spaghetti Squash Pad Thai,ITS A VEG WORLD AFTER ALL,4,1,6,https://www.yummly.com/recipe/Spaghetti-Squash-Pad-Thai-2583150
0,135,Chicken Pad Thai Noodle Bowl,RELUCTANT ENTERTAINER,1,1,18,https://www.yummly.com/recipe/Chicken-Pad-Thai-Noodle-Bowl-2640204
0,136,Veggie Pad Thai Zoodles with Peanut Dressing,A SAUCY KITCHEN,4,1,119,https://www.yummly.com/recipe/Veggie-Pad-Thai-Zoodles-with-Peanut-Dressing-1255970
0,137,Pad Thai Spaghetti Squash “Noodles”,JIF,5,2,582,https://www.yummly.com/recipe/Pad-Thai-Spaghetti-Squash-Noodles-2655715
0,138,Peanut-y Pad Thai,SOY-FREE VEGAN,5,1,14,https://www.yummly.com/recipe/Peanut-y-Pad-Thai-2043886
0,139,Veggie Pad Thai Zoodles,A SAUCY KITCHEN,5,1,13,https://www.yummly.com/recipe/Veggie-Pad-Thai-Zoodles-2192100
0,140,Shrimp Pad Thai with a Spicy Peanut Sauce,MAMA CHALLENGE,5,1,32,https://www.yummly.com/recipe/Shrimp-Pad-Thai-with-a-Spicy-Peanut-Sauce-2197053
0,141,Spiralized Pad Thai Chicken Meal Prep Bowls,THE GIRL ON BLOOR,5,1,186,https://www.yummly.com/recipe/Spiralized-Pad-Thai-Chicken-Meal-Prep-Bowls-2352700
0,142,Shrimp Pad Thai,THE LEMON BOWL,5,1,19,https://www.yummly.com/recipe/Shrimp-Pad-Thai-1825968
0,143,Vegetarian Pad Thai,HUNGRY HEALTHY HAPPY,5,1,471,https://www.yummly.com/recipe/Vegetarian-Pad-Thai-1892240
0,144,Instant Pot Pad Thai Chicken,MAKE THE BEST OF EVERYTHING,4,1,24,https://www.yummly.com/recipe/Instant-Pot-Pad-Thai-Chicken-2328917
0,145,Rainbow Vegetarian Pad Thai with Peanuts and Basil,PINCH OF YUM,5,1,429,https://www.yummly.com/recipe/Rainbow-Vegetarian-Pad-Thai-with-Peanuts-and-Basil-2296655
0,146,Spaghetti Squash Pad Thai,THE WHEATLESS KITCHEN,3.5,2,50,https://www.yummly.com/recipe/Spaghetti-Squash-Pad-Thai-792776
0,147,Whole30 Spaghetti Squash Pad Thai,THE DEFINED DISH,5,1,36,https://www.yummly.com/recipe/Whole30-Spaghetti-Squash-Pad-Thai-9231496
0,148,Chicken Pad Thai,THE BIKINI BODY TRAINING COMPANY BY KAYLA ITSINES,5,1,11,https://www.yummly.com/recipe/Chicken-Pad-Thai-2245831
0,149,Pad Thai Zucchini Noodle + Quinoa Salad,SIMPLY QUINOA,4,4,98,https://www.yummly.com/recipe/Pad-Thai-Zucchini-Noodle-_-Quinoa-Salad-2043690
0,150,Gluten-Free Vegetarian Pad Thai,FOODAL,5,1,10,https://www.yummly.com/recipe/Gluten-Free-Vegetarian-Pad-Thai-9126985
0,151,One Pot Pad Thai Noodles,CONTENTEDNESS COOKING,4.5,2,284,https://www.yummly.com/recipe/One-Pot-Pad-Thai-Noodles-2210635
0,152,Raw Pad Thai with Spicy Almond Sauce,TURNIP THE OVEN,4,1,212,https://www.yummly.com/recipe/Raw-Pad-Thai-with-Spicy-Almond-Sauce-1362844
0,153,Sweet Potato Zoodle Pad Thai,CHELSEA'S CHOICES,4,1,71,https://www.yummly.com/recipe/Sweet-Potato-Zoodle-Pad-Thai-1742486
0,154,Quick Tofu Pad Thai,SO VEGAN,4,1,15,https://www.yummly.com/recipe/Quick-Tofu-Pad-Thai-2166466
0,155,Miso Vegetable Pad Thai,PUMPKIN AND PEANUT BUTTER,4.5,2,84,https://www.yummly.com/recipe/Miso-Vegetable-Pad-Thai-2127522
0,156,Pad Thai,THE CIRCUS GARDENER,4.5,10,4000,https://www.yummly.com/recipe/Pad-Thai-1233934
0,157,Real Shrimp Pad Thai,THE SPRUCE EATS,5,1,31,https://www.yummly.com/recipe/Real-Shrimp-Pad-Thai-9020749
0,158,Chicken Pad Thai,CREME DE LA CRUMB,4.5,3,3000,https://www.yummly.com/recipe/Chicken-Pad-Thai-2236853
0,159,Instant Pot Pressure Cooker Pad Thai {ผัดไทยกุ้งสด},THIS OLD GAL,3,1,27,https://www.yummly.com/recipe/Instant-Pot-Pressure-Cooker-Pad-Thai-__-2280900
0,160,Creamy Pad Thai,THE TASTY K,4,1,16,https://www.yummly.com/recipe/Creamy-Pad-Thai-1563978
