,recipe_id,recipe_name,recipe_creator_name,recipe_ratings,recipe_num_saved,recipe_link
49,50,Healthy Pad Thai,Lose Baby Weight,4.0,828,https://www.yummly.com/recipe/Healthy-Pad-Thai-1471949
50,51,Vegetable Ramen Pad Thai,Tablespoon,4.21,68000,https://www.yummly.com/recipe/Vegetable-Ramen-Pad-Thai-2067502
51,52,Easy Vegan Pad Thai,Peta,4.22,2000,https://www.yummly.com/recipe/Easy-Vegan-Pad-Thai-1552176
52,53,Chicken Pad Thai,Awesome Cuisine,5.0,114,https://www.yummly.com/recipe/Chicken-Pad-Thai-1427707
53,54,Vegan Pad Thai,Eat With Clarity,4.0,409,https://www.yummly.com/recipe/Vegan-Pad-Thai-9262223
54,55,Healthy Chicken Pad Thai,The Clean Eating Couple,4.71,4000,https://www.yummly.com/recipe/Healthy-Chicken-Pad-Thai-2575729
55,56,30-Minute Vegan Pad Thai,Vegan Huggs,5.0,187,https://www.yummly.com/recipe/30-Minute-Vegan-Pad-Thai-2685811
56,57,Vegan Pad Thai,Choosing Chia,1.0,621,https://www.yummly.com/recipe/Vegan-Pad-Thai-2693013
57,58,CHICKEN AND PRAWN PAD THAI,Adora's Box,4.0,19,https://www.yummly.com/recipe/CHICKEN-AND-PRAWN-PAD-THAI-2177889
58,59,One-Pot Pad Thai,BuzzFeed,4.0,1000,https://www.yummly.com/recipe/One-Pot-Pad-Thai-1550613
59,60,15 Minute Pad Thai,Feasting at Home,4.0,779,https://www.yummly.com/recipe/15-Minute-Pad-Thai-2264745
60,61,Pad Thai,The Recipe Critic,4.67,243,https://www.yummly.com/recipe/Pad-Thai-2469342
61,62,Pad Thai Spring Rolls,Minimalist Baker,5.0,3000,https://www.yummly.com/recipe/Pad-Thai-Spring-Rolls-1498222
62,63,Raw Vegan Pad Thai,The Edgy Veg,5.0,596,https://www.yummly.com/recipe/Raw-Vegan-Pad-Thai-1438562
63,64,Pad Thai Inspired Noodle Dish,Adventures By Katie,5.0,593,https://www.yummly.com/recipe/Pad-Thai-Inspired-Noodle-Dish-1663407
64,65,Spicy Vegan Pad Thai,Delish Knowledge,5.0,313,https://www.yummly.com/recipe/Spicy-Vegan-Pad-Thai-1548256
65,66,Easy Vegetable Pad Thai,Yummy Healthy Easy,3.5,341,https://www.yummly.com/recipe/Easy-Vegetable-Pad-Thai-1274008
66,67,Vegan Pad Thai,Vegan Huggs,4.0,274,https://www.yummly.com/recipe/Vegan-Pad-Thai-1874710
67,68,Pad Thai,Tastes Better from Scratch,5.0,152,https://www.yummly.com/recipe/Pad-Thai-2610419
68,69,Chicken Pad Thai,The Gingered Whisk,4.6,1000,https://www.yummly.com/recipe/Chicken-Pad-Thai-2466855
69,70,Spring Vegetable Pad Thai,The Roasted Root,3.8,2000,https://www.yummly.com/recipe/Spring-Vegetable-Pad-Thai-1300114
70,71,Chicken Pad Thai,Fashionable Foods,5.0,177,https://www.yummly.com/recipe/Chicken-Pad-Thai-1611646
71,72,Pad Thai Recipe (Vegan),Healing Tomato's Blog,5.0,343,https://www.yummly.com/recipe/Pad-Thai-Recipe-_Vegan_-1474558
72,73,Chicken Pad Thai Meal Prep,Tip Buzz,2.5,716,https://www.yummly.com/recipe/Chicken-Pad-Thai-Meal-Prep-2298016
73,74,Ramen Pad Thai,Devour Dinner,5.0,115,https://www.yummly.com/recipe/Ramen-Pad-Thai-2638238
74,75,Lightened Up Pad Thai,Oh My Veggies,4.5,121,https://www.yummly.com/recipe/Lightened-Up-Pad-Thai-2260497
75,76,Pork Pad Thai,Garnish and Glaze,4.0,38,https://www.yummly.com/recipe/Pork-Pad-Thai-9245372
