,recipe_id,recipe_link
15,76,https://www.yummly.com/recipe/Raw-Pad-Thai-with-Kaffir-Lime-2255501
16,77,https://www.yummly.com/recipe/Keto-Pad-Thai-With-Shirataki-Noodles-2374486
17,78,https://www.yummly.com/recipe/Rainbow-Pad-Thai-_Vegan_-1840128
18,79,https://www.yummly.com/recipe/Pad-Thai-With-Chicken-and-Shrimp-2310990
19,80,https://www.yummly.com/recipe/Delightful-Vegan-Pad-Thai-Recipe-_-9302411
0,81,https://www.yummly.com/recipe/Easy-Paleo-Pad-Thai-2466104
1,82,https://www.yummly.com/recipe/Chicken-Pad-Thai-9219058
2,83,https://www.yummly.com/recipe/Easy-_-Healthy-Pad-Thai-Noodles-_gluten-free__-9188187
3,84,https://www.yummly.com/recipe/Paleo-Chicken-Pad-Thai-1081469
4,85,https://www.yummly.com/recipe/Pad-Thai-Zucchini-Noodles-2131160
5,86,https://www.yummly.com/recipe/Saucy-Vegan-Pad-Thai-with-Crisp-Pan-Fried-Tofu-9498629
6,87,https://www.yummly.com/recipe/Chicken-Pad-Thai-1611646
7,88,https://www.yummly.com/recipe/Chicken-Pad-Thai-1586379
8,89,https://www.yummly.com/recipe/Raw-Vegan-Pad-Thai-1438562
9,90,https://www.yummly.com/recipe/Healthy-Chicken-Pad-Thai-2386698
10,91,https://www.yummly.com/recipe/Easy-Vegan-Pad-Thai-_in-30-Minutes__-2403914
11,92,https://www.yummly.com/recipe/Making-Pad-Thai-9412552
12,93,https://www.yummly.com/recipe/Avocado-Basil-Pad-Thai-2200555
13,94,https://www.yummly.com/recipe/Pad-Thai-_with-Chicken-or-Shrimp_-9191844
14,95,https://www.yummly.com/recipe/Vegan-Pad-Thai-1874710
15,96,https://www.yummly.com/recipe/Healthy-Pad-Thai-2434946
16,97,https://www.yummly.com/recipe/Vegetarian-Pad-Thai-_Gluten-Free_-509608
17,98,https://www.yummly.com/recipe/Gluten-Free-Pad-Thai-Noodles-1220752
18,99,https://www.yummly.com/recipe/Spicy-Tofu-Cabbage-Pad-Thai-9217314
19,100,https://www.yummly.com/recipe/The-Best-Chicken-Pad-Thai-Ever-_Low-Carb-Paleo-Copycat_-2560538
20,101,https://www.yummly.com/recipe/Pad-Thai-1869015
21,102,https://www.yummly.com/recipe/Chicken-Pad-Thai-2226500
22,103,https://www.yummly.com/recipe/Vegan-Pad-Thai-9024902
23,104,https://www.yummly.com/recipe/Easy-Chicken-Pad-Thai-2499983
24,105,https://www.yummly.com/recipe/Authentic-Pad-Thai-Recipezaar
0,106,https://www.yummly.com/recipe/Pad-Thai-with-Prawns-and-Vegetable-Noodles-2501057
1,107,https://www.yummly.com/recipe/Vegan-Pad-Thai-with-Tofu-9528723
2,108,https://www.yummly.com/recipe/Shrimp-and-Tofu-Pad-Thai-1773028
3,109,https://www.yummly.com/recipe/Vegetarian-Pad-Thai-with-Tofu-9261226
4,110,https://www.yummly.com/recipe/Pad-Thai-9182590
5,111,https://www.yummly.com/recipe/Easy-Chicken-Pad-Thai-1723748
6,112,https://www.yummly.com/recipe/Pad-Thai-Cream-Pasta-1267923
7,113,https://www.yummly.com/recipe/Big-John_s-Pad-Thai-Noodles-Recipezaar
8,114,https://www.yummly.com/recipe/Paleo-Pad-Thai-with-Zucchini-Noodles-1164963
9,115,https://www.yummly.com/recipe/Instant-Pot-Pad-Thai-Gluten-Free-_-Dairy-Free-9238338
10,116,https://www.yummly.com/recipe/Chicken-Pad-Thai-with-Zoodles-2050770
11,117,https://www.yummly.com/recipe/summer-slaw-with-Pad-Thai-dressing-9295765
12,118,https://www.yummly.com/recipe/Paleo-Pad-Thai-2413735
13,119,https://www.yummly.com/recipe/Vegan-Pad-Thai-1020502
14,120,https://www.yummly.com/recipe/Pad-Thai-1858007
15,121,https://www.yummly.com/recipe/Vegan-Pad-Thai-Noodle-Salad-9288488
16,122,https://www.yummly.com/recipe/Classic-Pad-Thai-9231259
17,123,https://www.yummly.com/recipe/Pad-Thai-with-Almond-Sauce-1367593
18,124,https://www.yummly.com/recipe/Protein-Packed-Pad-Thai-1586467
19,125,https://www.yummly.com/recipe/Vegetable-Pad-Thai-1488216
20,126,https://www.yummly.com/recipe/Chicken-Pad-Thai-2249890
